transaction_id,record_number,origin_node_type,origin_host_name,origin_operator_id,host_name,local_sequence_number,current_service_class,voucher_based_refill,transaction_type,transaction_code,transaction_currency,refill_type,segmentation_id,voucher_group_id,account_currency,voucher_agent,origin_timestamp,transaction_timestamp,subscriber_number,account_number,voucher_serial_number,transaction_amount,source_file_path,processed_at
TXN1000000,1,INT,CMC,1002,HAAIR3,92845343,100,true,0000000002,VREFL,DJF,0,200,v1,DJF,AgentB,2024-12-16 20:31:00,2024-12-16 20:31:00,77483983,77483983,6724438513651,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000001,2,ADM,CMB,1002,HAAIR3,30069668,200,true,0000000002,VREFL,DJF,0,400,v3,DJF,AgentA,2024-01-25 14:14:00,2024-01-25 14:14:00,77840973,77840973,6392132798171,500,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000002,3,INT,CMB,1003,HAAIR1,96383307,300,false,0000000002,VREFL,DJF,1,400,v3,DJF,AgentB,2024-04-27 08:14:00,2024-04-27 08:14:00,77691654,77691654,3081118906502,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000003,4,INT,CMA,1002,HAAIR4,66964088,300,false,0000000002,DATA,DJF,0,200,v1,DJF,AgentA,2024-02-28 04:30:00,2024-02-28 04:30:00,77856692,77856692,3507667706270,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000004,5,ADM,CMB,1003,HAAIR3,19681617,400,true,0000000002,DATA,DJF,1,400,v1,DJF,Evatis,2024-09-20 19:53:00,2024-09-20 19:53:00,77597088,77597088,4249231841956,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000005,6,ADM,CMB,1003,HAAIR1,62810973,500,false,0000000002,DATA,DJF,0,500,v2,DJF,Evatis,2024-01-11 14:31:00,2024-01-11 14:31:00,77042751,77042751,9390940304917,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000006,7,INT,CMC,1001,HAAIR3,96690562,200,false,0000000003,DATA,DJF,0,500,v2,DJF,AgentB,2024-09-13 23:18:00,2024-09-13 23:18:00,77043009,77043009,8325013661357,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000007,8,EXT,CMB,1003,HAAIR4,22108244,300,false,0000000001,VREFL,DJF,1,200,v3,DJF,Evatis,2024-04-09 01:36:00,2024-04-09 01:36:00,77411821,77411821,2066251967771,100,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000008,9,INT,CMC,1002,HAAIR3,25255079,500,true,0000000001,DATA,DJF,1,500,v1,DJF,Evatis,2024-06-23 16:15:00,2024-06-23 16:15:00,77854020,77854020,7360489041456,1000,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
TXN1000009,10,INT,CMB,1002,HAAIR3,67354057,200,false,0000000003,DATA,DJF,1,300,v3,DJF,Evatis,2024-07-04 15:14:00,2024-07-04 15:14:00,77582188,77582188,2763087144102,250,/opt/airflow/data/raw/json/airfile/AIR2/2025/01/01/refillRecordV2.json,2026-02-13T18:13:30.317575
